Country/area,Technology,Jobs (thousand),Source,Note,Year
Australia,Biogas,,,,2019
Australia,CSP,,,,2019
Australia,Geothermal Energy,0.04,ABS (2020),,2019
Australia,Hydropower,2.463,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Australia,Liquid Biofuels,,,,2019
Australia,Municipal and industrial waste,,,,2019
Australia,Others,1.12,ABS (2020),Government jobs,2019
Australia,Solar Heating / Cooling,4.2,IRENA estimate,Based on employment factors and capacity data,2019
Australia,Solar Photovoltaic,17.81,ABS (2020),,2019
Australia,Solid Biomass,1.58,ABS (2020),,2019
Australia,"Tide, Wave and Ocean Energy",,,,2019
Australia,Wind Energy,3.24,ABS (2020),,2019
Austria,All technologies,25.088,,,2019
Austria,Biogas,0.4,EurObserv'ER (2020),,2019
Austria,CSP,,,,2019
Austria,Geothermal Energy,0.847,EurObserv'ER (2020),,2019
Austria,Hydropower,5.241,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Austria,Liquid Biofuels,2.1,EurObserv'ER (2020),,2019
Austria,Municipal and industrial waste,0.2,EurObserv'ER (2020),,2019
Austria,Others,,,,2019
Austria,Solar Heating / Cooling,1.8,EurObserv'ER (2020),,2019
Austria,Solar Photovoltaic,1.9,EurObserv'ER (2020),,2019
Austria,Solid Biomass,10.1,EurObserv'ER (2020),,2019
Austria,"Tide, Wave and Ocean Energy",,,,2019
Austria,Wind Energy,2.5,EurObserv'ER (2020),,2019
Azerbaijan,All technologies,4.628,,,2019
Azerbaijan,Biogas,,,,2019
Azerbaijan,CSP,,,,2019
Azerbaijan,Geothermal Energy,,,,2019
Azerbaijan,Hydropower,4.628,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Azerbaijan,Liquid Biofuels,,,,2019
Azerbaijan,Municipal and industrial waste,,,,2019
Azerbaijan,Others,,,,2019
Azerbaijan,Solar Heating / Cooling,,,,2019
Azerbaijan,Solar Photovoltaic,,,,2019
Azerbaijan,Solid Biomass,,,,2019
Azerbaijan,"Tide, Wave and Ocean Energy",,,,2019
Azerbaijan,Wind Energy,,,,2019
Bangladesh,All technologies,155.9,,,2019
Bangladesh,Biogas,12,IRENA focal point,,2019
Bangladesh,CSP,,,,2019
Bangladesh,Geothermal Energy,,,,2019
Bangladesh,Hydropower,2.5,IRENA focal point,,2019
Bangladesh,Liquid Biofuels,,,,2019
Bangladesh,Municipal and industrial waste,,,,2019
Bangladesh,Others,3,IRENA focal point,,2019
Bangladesh,Solar Heating / Cooling,,,,2019
Bangladesh,Solar Photovoltaic,137.4,IRENA estimate,Based on installation trends,2019
Bangladesh,Solid Biomass,,,,2019
Bangladesh,"Tide, Wave and Ocean Energy",,,,2019
Bangladesh,Wind Energy,1,IRENA focal point,,2019
Barbados,All technologies,0.14,,,2019
Barbados,Biogas,,,,2019
Barbados,CSP,,,,2019
Barbados,Geothermal Energy,,,,2019
Barbados,Hydropower,,,,2019
Barbados,Liquid Biofuels,,,,2019
Barbados,Municipal and industrial waste,,,,2019
Barbados,Others,,,,2019
Barbados,Solar Heating / Cooling,0.14,IRENA estimate,Based on employment factors and capacity data,2019
Barbados,Solar Photovoltaic,,,,2019
Barbados,Solid Biomass,,,,2019
Barbados,"Tide, Wave and Ocean Energy",,,,2019
Barbados,Wind Energy,,,,2019
Belgium,All technologies,13.374,,,2019
Belgium,Biogas,0.4,EurObserv'ER (2020),,2019
Belgium,CSP,,,,2019
Belgium,Geothermal Energy,0.174,EurObserv'ER (2020),,2019
Belgium,Hydropower,0.4,EurObserv'ER (2020),,2019
Belgium,Liquid Biofuels,1.1,EurObserv'ER (2020),,2019
Belgium,Municipal and industrial waste,0.6,EurObserv'ER (2020),,2019
Belgium,Others,,,,2019
Belgium,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2019
Belgium,Solar Photovoltaic,1.7,EurObserv'ER (2020),,2019
Belgium,Solid Biomass,1.5,EurObserv'ER (2020),,2019
Belgium,"Tide, Wave and Ocean Energy",,,,2019
Belgium,Wind Energy,7.4,EurObserv'ER (2020),,2019
Botswana,All technologies,0.1,,,2019
Botswana,Biogas,,,,2019
Botswana,CSP,,,,2019
Botswana,Geothermal Energy,,,,2019
Botswana,Hydropower,,,,2019
Botswana,Liquid Biofuels,,,,2019
Botswana,Municipal and industrial waste,,,,2019
Botswana,Others,,,,2019
Botswana,Solar Heating / Cooling,0.1,IRENA estimate,Based on employment factors and capacity data,2019
Botswana,Solar Photovoltaic,,,,2019
Botswana,Solid Biomass,,,,2019
Botswana,"Tide, Wave and Ocean Energy",,,,2019
Botswana,Wind Energy,,,,2019
Brazil,All technologies,1157.575,,,2019
Brazil,Biogas,,,,2019
Brazil,CSP,,,,2019
Brazil,Geothermal Energy,,,,2019
Brazil,Hydropower,212.599,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Brazil,Liquid Biofuels,839.1,IRENA estimate,"575,000 in ethanol and 264,100 in biodiesel",2019
Brazil,Municipal and industrial waste,,,,2019
Brazil,Others,,,,2019
Brazil,Solar Heating / Cooling,43.926,ABRASOL (2020),,2019
Brazil,Solar Photovoltaic,43.2,IRENA estimate,Based on employment factors and capacity data,2019
Brazil,Solid Biomass,,,,2019
Brazil,"Tide, Wave and Ocean Energy",,,,2019
Brazil,Wind Energy,18.75,IRENA estimate,Employment factor based estimate,2019
Bulgaria,All technologies,45.589,,,2019
Bulgaria,Biogas,1,EurObserv'ER (2020),,2019
Bulgaria,CSP,,,,2019
Bulgaria,Geothermal Energy,0.213,EurObserv'ER (2020),,2019
Bulgaria,Hydropower,7.376,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Bulgaria,Liquid Biofuels,7.5,EurObserv'ER (2020),,2019
Bulgaria,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2019
Bulgaria,Others,,,,2019
Bulgaria,Solar Heating / Cooling,1.3,EurObserv'ER (2020),,2019
Bulgaria,Solar Photovoltaic,0.6,EurObserv'ER (2020),,2019
Bulgaria,Solid Biomass,27,EurObserv'ER (2020),,2019
Bulgaria,"Tide, Wave and Ocean Energy",,,,2019
Bulgaria,Wind Energy,0.5,EurObserv'ER (2020),,2019
Burkina Faso,All technologies,0.1,,,2019
Burkina Faso,Biogas,,,,2019
Burkina Faso,CSP,,,,2019
Burkina Faso,Geothermal Energy,,,,2019
Burkina Faso,Hydropower,,,,2019
Burkina Faso,Liquid Biofuels,,,,2019
Burkina Faso,Municipal and industrial waste,,,,2019
Burkina Faso,Others,,,,2019
Burkina Faso,Solar Heating / Cooling,0.1,IRENA estimate,Based on employment factors and capacity data,2019
Burkina Faso,Solar Photovoltaic,,,,2019
Burkina Faso,Solid Biomass,,,,2019
Burkina Faso,"Tide, Wave and Ocean Energy",,,,2019
Burkina Faso,Wind Energy,,,,2019
Cambodia,All technologies,18.925,,,2019
Cambodia,Biogas,,,,2019
Cambodia,CSP,,,,2019
Cambodia,Geothermal Energy,,,,2019
Cambodia,Hydropower,18.925,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Cambodia,Liquid Biofuels,,,,2019
Cambodia,Municipal and industrial waste,,,,2019
Cambodia,Others,,,,2019
Cambodia,Solar Heating / Cooling,,,,2019
Cambodia,Solar Photovoltaic,,,,2019
Cambodia,Solid Biomass,,,,2019
Cambodia,"Tide, Wave and Ocean Energy",,,,2019
Cambodia,Wind Energy,,,,2019
Canada,All technologies,59.635,,,2019
Canada,Biogas,,,,2019
Canada,CSP,,,,2019
Canada,Geothermal Energy,0.02,IRENA estimate,,2019
Canada,Hydropower,29.943,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Canada,Liquid Biofuels,17.691,Urbanchuck (2012),,2019
Canada,Municipal and industrial waste,,,,2019
Canada,Others,,,,2019
Canada,Solar Heating / Cooling,0.12,IRENA estimate,Based on employment factors and capacity data,2019
Canada,Solar Photovoltaic,4.261,IRENA estimate,Based on employment factors and capacity data,2019
Canada,Solid Biomass,,,,2019
Canada,"Tide, Wave and Ocean Energy",,,,2019
Canada,Wind Energy,7.6,IRENA estimate,Based on employment factors and capacity data,2019
Chile,All technologies,17.493,,,2019
Chile,Biogas,0,IRENA focal point,,2019
Chile,CSP,1.542,"Ministry of Energy, Chile; River Consultores (2016); Corporacien de Bienes de Capital (2017)",,2019
Chile,Geothermal Energy,0.4,IRENA estimate,,2019
Chile,Hydropower,6.011,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Chile,Liquid Biofuels,,,,2019
Chile,Municipal and industrial waste,,,,2019
Chile,Others,,,,2019
Chile,Solar Heating / Cooling,0.25,IRENA estimate,Based on employment factors and capacity data,2019
Chile,Solar Photovoltaic,6.26,IRENA estimate,Based on employment factors and capacity data,2019
Chile,Solid Biomass,0.33,"Ministry of Energy, Chile; River Consultores (2016); Corporacien de Bienes de Capital (2017) (estimates for constructing new plants planned for 2018 plus O&M from previous plants)",,2019
Chile,"Tide, Wave and Ocean Energy",0,IRENA focal point,,2019
Chile,Wind Energy,2.7,IRENA estimate,Based on employment factors and capacity data,2019
China,All technologies,4360.549,,,2019
China,Biogas,145,CNREC (2020),,2019
China,CSP,11,CNREC (2020),,2019
China,Geothermal Energy,3,CNREC (2020),,2019
China,Hydropower,560.549,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
China,Liquid Biofuels,51,CNREC (2020),,2019
China,Municipal and industrial waste,,,,2019
China,Others,,,,2019
China,Solar Heating / Cooling,670,CNREC (2020),,2019
China,Solar Photovoltaic,2214,CNREC (2020),,2019
China,Solid Biomass,188,CNREC (2020),,2019
China,"Tide, Wave and Ocean Energy",,,,2019
China,Wind Energy,518,CNREC (2020),,2019
Chinese Taipei,All technologies,28.94,,,2019
Chinese Taipei,Biogas,,,,2019
Chinese Taipei,CSP,,,,2019
Chinese Taipei,Geothermal Energy,,,,2019
Chinese Taipei,Hydropower,,,,2019
Chinese Taipei,Liquid Biofuels,,,,2019
Chinese Taipei,Municipal and industrial waste,,,,2019
Chinese Taipei,Others,,,,2019
Chinese Taipei,Solar Heating / Cooling,0.27,IRENA estimate,Based on employment factors and capacity data,2019
Chinese Taipei,Solar Photovoltaic,23.1,IRENA estimate,Based on employment factors and capacity data,2019
Chinese Taipei,Solid Biomass,,,,2019
Chinese Taipei,"Tide, Wave and Ocean Energy",,,,2019
Chinese Taipei,Wind Energy,5.57,IRENA estimate,Based on employment factors and capacity data,2019
Colombia,All technologies,272.027,,,2019
Colombia,Biogas,,,,2019
Colombia,CSP,,,,2019
Colombia,Geothermal Energy,,,,2019
Colombia,Hydropower,36.572,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Colombia,Liquid Biofuels,211.871,IRENA estimate,"111,676 jobs in ethanol and 100,195 jobs in biodiesel",2019
Colombia,Municipal and industrial waste,,,,2019
Colombia,Others,,,,2019
Colombia,Solar Heating / Cooling,,,,2019
Colombia,Solar Photovoltaic,0.956,IRENA focal point,,2019
Colombia,Solid Biomass,18.62,Ministerio de Minas y Energea (2015),,2019
Colombia,"Tide, Wave and Ocean Energy",,,,2019
Colombia,Wind Energy,4.008,IRENA focal point,,2019
Costa Rica,All technologies,1.097,,,2019
Costa Rica,Biogas,,,,2019
Costa Rica,CSP,0.002,IRENA focal point,,2019
Costa Rica,Geothermal Energy,0.103,IRENA focal point,,2019
Costa Rica,Hydropower,0.885,IRENA focal point,,2019
Costa Rica,Liquid Biofuels,,,,2019
Costa Rica,Municipal and industrial waste,,,,2019
Costa Rica,Others,,,,2019
Costa Rica,Solar Heating / Cooling,,,,2019
Costa Rica,Solar Photovoltaic,0.044,IRENA focal point,,2019
Costa Rica,Solid Biomass,0.01,IRENA focal point,,2019
Costa Rica,"Tide, Wave and Ocean Energy",,,,2019
Costa Rica,Wind Energy,0.053,IRENA focal point,,2019
Croatia,All technologies,25.402,,,2019
Croatia,Biogas,2.2,EurObserv'ER (2020),,2019
Croatia,CSP,,,,2019
Croatia,Geothermal Energy,0.102,EurObserv'ER (2020),,2019
Croatia,Hydropower,2.1,EurObserv'ER (2020),,2019
Croatia,Liquid Biofuels,2.5,EurObserv'ER (2020),,2019
Croatia,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2019
Croatia,Others,,,,2019
Croatia,Solar Heating / Cooling,0.2,EurObserv'ER (2020),,2019
Croatia,Solar Photovoltaic,0.4,EurObserv'ER (2020),,2019
Croatia,Solid Biomass,16.7,EurObserv'ER (2020),,2019
Croatia,"Tide, Wave and Ocean Energy",,,,2019
Croatia,Wind Energy,1.1,EurObserv'ER (2020),,2019
Cyprus,All technologies,1.402,,,2019
Cyprus,Biogas,0.1,EurObserv'ER (2020),,2019
Cyprus,CSP,,,,2019
Cyprus,Geothermal Energy,0.102,EurObserv'ER (2020),,2019
Cyprus,Hydropower,0.1,EurObserv'ER (2020),,2019
Cyprus,Liquid Biofuels,0.1,EurObserv'ER (2020),,2019
Cyprus,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2019
Cyprus,Others,,,,2019
Cyprus,Solar Heating / Cooling,0.3,EurObserv'ER (2020),,2019
Cyprus,Solar Photovoltaic,0.2,EurObserv'ER (2020),,2019
Cyprus,Solid Biomass,0.3,EurObserv'ER (2020),,2019
Cyprus,"Tide, Wave and Ocean Energy",,,,2019
Cyprus,Wind Energy,0.1,EurObserv'ER (2020),,2019
Czechia,All technologies,34.133,,,2019
Czechia,Biogas,4.1,EurObserv'ER (2020),,2019
Czechia,CSP,,,,2019
Czechia,Geothermal Energy,0.433,EurObserv'ER (2020),,2019
Czechia,Hydropower,1.3,EurObserv'ER (2020),,2019
Czechia,Liquid Biofuels,8,EurObserv'ER (2020),,2019
Czechia,Municipal and industrial waste,0.2,EurObserv'ER (2020),,2019
Czechia,Others,,,,2019
Czechia,Solar Heating / Cooling,0.2,EurObserv'ER (2020),,2019
Czechia,Solar Photovoltaic,1.9,EurObserv'ER (2020),,2019
Czechia,Solid Biomass,16.7,EurObserv'ER (2020),,2019
Czechia,"Tide, Wave and Ocean Energy",,,,2019
Czechia,Wind Energy,1.3,EurObserv'ER (2020),,2019
Democratic Republic of the Congo,All technologies,8.972,,,2019
Democratic Republic of the Congo,Biogas,,,,2019
Democratic Republic of the Congo,CSP,,,,2019
Democratic Republic of the Congo,Geothermal Energy,,,,2019
Democratic Republic of the Congo,Hydropower,8.972,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Democratic Republic of the Congo,Liquid Biofuels,,,,2019
Democratic Republic of the Congo,Municipal and industrial waste,,,,2019
Democratic Republic of the Congo,Others,,,,2019
Democratic Republic of the Congo,Solar Heating / Cooling,,,,2019
Democratic Republic of the Congo,Solar Photovoltaic,,,,2019
Democratic Republic of the Congo,Solid Biomass,,,,2019
Democratic Republic of the Congo,"Tide, Wave and Ocean Energy",,,,2019
Democratic Republic of the Congo,Wind Energy,,,,2019
Denmark,All technologies,45.025,,,2019
Denmark,Biogas,0.6,EurObserv'ER (2020),,2019
Denmark,CSP,,,,2019
Denmark,Geothermal Energy,0.225,EurObserv'ER (2020),,2019
Denmark,Hydropower,0.1,EurObserv'ER (2020),,2019
Denmark,Liquid Biofuels,0.7,EurObserv'ER (2020),,2019
Denmark,Municipal and industrial waste,0.6,EurObserv'ER (2020),,2019
Denmark,Others,,,,2019
Denmark,Solar Heating / Cooling,0.5,EurObserv'ER (2020),,2019
Denmark,Solar Photovoltaic,1.6,EurObserv'ER (2020),,2019
Denmark,Solid Biomass,5.3,EurObserv'ER (2020),,2019
Denmark,"Tide, Wave and Ocean Energy",,,,2019
Denmark,Wind Energy,35.4,EurObserv'ER (2020),,2019
Dominican Republic,All technologies,2.5,,,2019
Dominican Republic,Biogas,,,,2019
Dominican Republic,CSP,,,,2019
Dominican Republic,Geothermal Energy,,,,2019
Dominican Republic,Hydropower,,,,2019
Dominican Republic,Liquid Biofuels,,,,2019
Dominican Republic,Municipal and industrial waste,,,,2019
Dominican Republic,Others,,,,2019
Dominican Republic,Solar Heating / Cooling,,,,2019
Dominican Republic,Solar Photovoltaic,,,,2019
Dominican Republic,Solid Biomass,,,,2019
Dominican Republic,"Tide, Wave and Ocean Energy",,,,2019
Dominican Republic,Wind Energy,2.5,IRENA estimate,Based on employment factors and capacity data,2019
Ecuador,All technologies,12.448,,,2019
Ecuador,Biogas,0.01,IRENA Focal Point,,2019
Ecuador,CSP,0.009,IRENA Focal Point,,2019
Ecuador,Geothermal Energy,0.018,IRENA Focal Point,,2019
Ecuador,Hydropower,12.346,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Ecuador,Liquid Biofuels,0.016,IRENA focal point,,2019
Ecuador,Municipal and industrial waste,0.016,IRENA Focal Point,,2019
Ecuador,Others,,,,2019
Ecuador,Solar Heating / Cooling,,,,2019
Ecuador,Solar Photovoltaic,0.009,IRENA focal point,,2019
Ecuador,Solid Biomass,0.016,IRENA Focal Point,,2019
Ecuador,"Tide, Wave and Ocean Energy",,,,2019
Ecuador,Wind Energy,0.008,IRENA Focal Point,,2019
Egypt,All technologies,12.08,,,2019
Egypt,Biogas,,,,2019
Egypt,CSP,0.2,NREA Egypt (2016) ,,2019
Egypt,Geothermal Energy,,,,2019
Egypt,Hydropower,0.32,NREA Egypt (2016) ,,2019
Egypt,Liquid Biofuels,,,,2019
Egypt,Municipal and industrial waste,,,,2019
Egypt,Others,,,,2019
Egypt,Solar Heating / Cooling,0.3,NREA Egypt (2016) ,,2019
Egypt,Solar Photovoltaic,6.5,IRENA estimate,Based on employment factors and capacity data,2019
Egypt,Solid Biomass,,,,2019
Egypt,"Tide, Wave and Ocean Energy",,,,2019
Egypt,Wind Energy,4.76,IRENA estimate,Based on employment factors and capacity data,2019
El Salvador,All technologies,0.163,,,2019
El Salvador,Biogas,,,,2019
El Salvador,CSP,,,,2019
El Salvador,Geothermal Energy,0.163,IRENA estimate,,2019
El Salvador,Hydropower,,,,2019
El Salvador,Liquid Biofuels,,,,2019
El Salvador,Municipal and industrial waste,,,,2019
El Salvador,Others,,,,2019
El Salvador,Solar Heating / Cooling,,,,2019
El Salvador,Solar Photovoltaic,,,,2019
El Salvador,Solid Biomass,,,,2019
El Salvador,"Tide, Wave and Ocean Energy",,,,2019
El Salvador,Wind Energy,,,,2019
Estonia,All technologies,14.688,,,2019
Estonia,Biogas,0.1,EurObserv'ER (2020),,2019
Estonia,CSP,,,,2019
Estonia,Geothermal Energy,0.288,EurObserv'ER (2020),,2019
Estonia,Hydropower,0.1,EurObserv'ER (2020),,2019
Estonia,Liquid Biofuels,0.5,EurObserv'ER (2020),,2019
Estonia,Municipal and industrial waste,0.5,EurObserv'ER (2020),,2019
Estonia,Others,,,,2019
Estonia,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2019
Estonia,Solar Photovoltaic,0.5,EurObserv'ER (2020),,2019
Estonia,Solid Biomass,12.2,EurObserv'ER (2020),,2019
Estonia,"Tide, Wave and Ocean Energy",,,,2019
Estonia,Wind Energy,0.4,EurObserv'ER (2020),,2019
Ethiopia,All technologies,13.733,,,2019
Ethiopia,Biogas,,,,2019
Ethiopia,CSP,,,,2019
Ethiopia,Geothermal Energy,,,,2019
Ethiopia,Hydropower,12.633,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Ethiopia,Liquid Biofuels,,,,2019
Ethiopia,Municipal and industrial waste,,,,2019
Ethiopia,Others,,,,2019
Ethiopia,Solar Heating / Cooling,,,,2019
Ethiopia,Solar Photovoltaic,,,,2019
Ethiopia,Solid Biomass,,,,2019
Ethiopia,"Tide, Wave and Ocean Energy",,,,2019
Ethiopia,Wind Energy,1.1,FIDIC (2015),Employment for Adama wind farm,2019
Finland,All technologies,31.982,,,2019
Finland,Biogas,0.5,EurObserv'ER (2020),,2019
Finland,CSP,,,,2019
Finland,Geothermal Energy,0.682,EurObserv'ER (2020),,2019
Finland,Hydropower,1.3,EurObserv'ER (2020),,2019
Finland,Liquid Biofuels,2.6,EurObserv'ER (2020),,2019
Finland,Municipal and industrial waste,1.2,EurObserv'ER (2020),,2019
Finland,Others,,,,2019
Finland,Solar Heating / Cooling,0.1,EurObserv'ER (2020),,2019
Finland,Solar Photovoltaic,1.2,EurObserv'ER (2020),,2019
Finland,Solid Biomass,23.7,EurObserv'ER (2020),,2019
Finland,"Tide, Wave and Ocean Energy",,,,2019
Finland,Wind Energy,0.7,EurObserv'ER (2020),,2019
France,All technologies,109.424,,,2019
France,Biogas,4.2,EurObserv'ER (2020),,2019
France,CSP,,,,2019
France,Geothermal Energy,1.113,EurObserv'ER (2020),,2019
France,Hydropower,9.311,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
France,Liquid Biofuels,29.1,EurObserv'ER (2020),,2019
France,Municipal and industrial waste,2.1,EurObserv'ER (2020),,2019
France,Others,,,,2019
France,Solar Heating / Cooling,1.8,EurObserv'ER (2020),,2019
France,Solar Photovoltaic,15,EurObserv'ER (2020),,2019
France,Solid Biomass,31.1,EurObserv'ER (2020),,2019
France,"Tide, Wave and Ocean Energy",,,,2019
France,Wind Energy,15.7,EurObserv'ER (2020),,2019
Gabon,All technologies,0.07,,,2019
Gabon,Biogas,,,,2019
Gabon,CSP,,,,2019
Gabon,Geothermal Energy,,,,2019
Gabon,Hydropower,0.07,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Gabon,Liquid Biofuels,,,,2019
Gabon,Municipal and industrial waste,,,,2019
Gabon,Others,,,,2019
Gabon,Solar Heating / Cooling,,,,2019
Gabon,Solar Photovoltaic,,,,2019
Gabon,Solid Biomass,,,,2019
Gabon,"Tide, Wave and Ocean Energy",,,,2019
Gabon,Wind Energy,,,,2019
Germany,All technologies,308.506,,,2019
Germany,Biogas,41,Lehr et al (2020),,2019
Germany,CSP,,,,2019
Germany,Geothermal Energy,23.4,Lehr et al (2020),,2019
Germany,Hydropower,1.909,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Germany,Liquid Biofuels,22.6,Lehr et al (2020),,2019
Germany,Municipal and industrial waste,7.6,EurObserv'ER (2020),,2019
Germany,Others,,,,2019
Germany,Solar Heating / Cooling,7.497,Lehr et al (2020),,2019
Germany,Solar Photovoltaic,38.2,Lehr et al (2020),,2019
Germany,Solid Biomass,44.6,Lehr et al (2020),,2019
Germany,"Tide, Wave and Ocean Energy",,,,2019
Germany,Wind Energy,121.7,Lehr et al (2020),,2019
Ghana,All technologies,15.666,,,2019
Ghana,Biogas,,,,2019
Ghana,CSP,,,,2019
Ghana,Geothermal Energy,,,,2019
Ghana,Hydropower,14.432,IRENA estimate,Based on employment factors and capacity and manufactruing data.,2019
Ghana,Liquid Biofuels,,,,2019
Ghana,Municipal and industrial waste,,,,2019
Ghana,Others,,,,2019
Ghana,Solar Heating / Cooling,,,,2019
Ghana,Solar Photovoltaic,1.234,Mcesocap (2016); PEG-ghana (nd); PV-tech (nd),"The workforce of PEG-Ghana, the construction workforce of BXG Ghana and for Nzema solar project.",2019
Ghana,Solid Biomass,,,,2019
Ghana,"Tide, Wave and Ocean Energy",,,,2019
Ghana,Wind Energy,,,,2019
Greece,All technologies,25.433,,,2019
Greece,Biogas,0.8,EurObserv'ER (2020),,2019
Greece,CSP,,,,2019
Greece,Geothermal Energy,0.133,EurObserv'ER (2020),,2019
Greece,Hydropower,2.4,EurObserv'ER (2020),,2019
Greece,Liquid Biofuels,10.9,EurObserv'ER (2020),,2019
Greece,Municipal and industrial waste,0.1,EurObserv'ER (2020),,2019
Greece,Others,,,,2019
Greece,Solar Heating / Cooling,1.8,EurObserv'ER (2020),,2019
Greece,Solar Photovoltaic,1.8,EurObserv'ER (2020),,2019
Greece,Solid Biomass,2.4,EurObserv'ER (2020),,2019
Greece,"Tide, Wave and Ocean Energy",,,,2019
Greece,Wind Energy,5.1,EurObserv'ER (2020),,2019
Guinea,All technologies,1.9,,,2019
Guinea,Biogas,,,,2019
Guinea,CSP,,,,2019
Guinea,Geothermal Energy,,,,2019
Guinea,Hydropower,,,,2019
Guinea,Liquid Biofuels,,,,2019
Guinea,Municipal and industrial waste,,,,2019
Guinea,Others,,,,2019
Guinea,Solar Heating / Cooling,,,,2019
Guinea,Solar Photovoltaic,1.9,WSJ (2015),,2019
Guinea,Solid Biomass,,,,2019
Guinea,"Tide, Wave and Ocean Energy",,,,2019
Guinea,Wind Energy,,,,2019
Hungary,All technologies,37.376,,,2019
Hungary,Biogas,0.7,EurObserv'ER (2020),,2019
Hungary,CSP,,,,2019
Hungary,Geothermal Energy,0.776,EurObserv'ER (2020),,2019
Hungary,Hydropower,0.1,EurObserv'ER (2020),,2019
